PWG,flow,flow.pred
ATS24*1.0,6.62852954903,6.59689714856
ATS24*10.0,5.5134016799,5.19262726226
ATS24*16.0,7.84498200275,6.96049738588
ATS24*20.0,6.99950298989,5.17973641751
ATS24*21.0,10.7358404962,8.0905019489
ATS24*22.0,5.28075899448,4.99050906003
ATS24*23.0,3.2972939478,3.85907218093
ATS24*4.0,3.08530488841,3.83185817534
ATS24*6.0,5.15138163277,5.54333665483
ATS24*7.0,4.90097520656,4.9083357264
ATS24*8.0,3.54659602839,3.69329319762
ATS2610.0,4.73264916271,4.76833843263
ATS2613.0,4.8042035442,4.9083357264
ATS2614.0,3.8212943618,3.92829091764
ATS2616.0,5.25114762305,5.19119494618
ATS2619.0,6.95275650146,6.17547295109
ATS2620.0,7.4298989811,7.59120136606
ATS2621.0,3.97246593299,3.92978698589
ATS2622.0,3.37711583234,3.70761635846
ATS263.0,4.79353677509,4.13190518812
ATS264.0,4.4010296796,4.18972914833
ATS265.0,3.6301677953,3.99477252648
ISO267821.0,6.9884256059,7.02691524259
ISO2678212.0,2.99353793276,4.10083247969
ISO267822.0,4.98757812549,4.96186273836
ISO267823.0,3.32847911588,3.64692776612
ISO267829.0,2.66241729069,3.41846708684
