PWG,,fef,fef.pred
ATS24*1.0,0,3.40719434793,1.9655737518
ATS24*10.0,0,2.90609573525,2.09193026039
ATS24*16.0,0,2.90224519939,2.80312923695
ATS24*20.0,0,2.69722700115,3.4977442843
ATS24*21.0,0,3.38010340456,5.8623617401
ATS24*22.0,0,2.20632682064,1.23084560575
ATS24*23.0,0,0.531715699786,0.965304755328
ATS24*4.0,0,1.69556582359,0.732403377129
ATS24*6.0,0,2.57363362667,1.65411059229
ATS24*7.0,0,2.37132427212,3.12059004082
ATS24*8.0,0,1.86537209583,1.15515043336
ATS2610.0,0,2.48396860715,2.50506037457
ATS2613.0,0,2.00517401445,3.07289215976
ATS2614.0,0,1.99012994672,3.03529206899
ATS2616.0,0,2.06169070703,2.94680424921
ATS2619.0,0,2.79487009203,2.98155477809
ATS2620.0,0,4.65708309856,3.44686045274
ATS2622.0,0,2.04781847833,1.59874897042
ATS264.0,0,1.67816603458,1.54976213845
ATS265.0,0,1.84001159377,2.73276377619
ISO267821.0,0,3.95128843752,3.93039133178
ISO2678212.0,0,1.419396413,0.937604362402
ISO267822.0,0,2.36252921681,2.75521772679
ISO267823.0,0,1.5556815437,1.39917545268
ISO267829.0,0,1.24549408764,1.11414348511
