PWG,flow,flow.pred
ATS24*1.0,6.62852954903,5.94298475125
ATS24*10.0,5.5134016799,5.50913797339
ATS24*16.0,7.84498200275,6.51803823844
ATS24*20.0,6.99950298989,4.92171930751
ATS24*21.0,10.7358404962,11.0197628804
ATS24*22.0,5.28075899448,4.92171930751
ATS24*23.0,3.2972939478,2.7721470203
ATS24*4.0,3.08530488841,3.438628985
ATS24*6.0,5.15138163277,5.61050546626
ATS24*7.0,4.90097520656,4.8736338475
ATS24*8.0,3.54659602839,3.93790751114
ATS2610.0,4.73264916271,4.3602835057
ATS2613.0,4.8042035442,4.8736338475
ATS2614.0,3.8212943618,4.8307449603
ATS2616.0,5.25114762305,5.01269365477
ATS2619.0,6.95275650146,7.44499623413
ATS2620.0,7.4298989811,6.16184565717
ATS2622.0,3.37711583234,3.93790751114
ATS264.0,4.4010296796,3.93790751114
ATS265.0,3.6301677953,4.31219804569
ISO267821.0,6.9884256059,6.45790948021
ISO2678212.0,2.99353793276,3.70267678386
ISO267822.0,4.98757812549,5.06077911478
ISO267823.0,3.32847911588,3.98599297115
ISO267829.0,2.66241729069,3.47669237813
